RNWDB 1.000000
KMCO 18L 28.448335200 -81.322300100 28.415316600 -81.321961200 0
KMCO 36R 28.415316600 -81.321961200 28.448335200 -81.322300100 0
KMCO 18R 28.448292600 -81.326975300 28.415282000 -81.326619500 0
KMCO 36L 28.415282000 -81.326619500 28.448292600 -81.326975300 0
KMCO 17R 28.435613600 -81.295878000 28.408109700 -81.295592700 0
KMCO 35L 28.408109700 -81.295592700 28.435613600 -81.295878000 0
KMCO 17L 28.443699200 -81.282580400 28.418946700 -81.282327000 0
KMCO 35R 28.418946700 -81.282327000 28.443699200 -81.282580400 0
KOSH 18 43.985784600 -88.556432900 43.963837700 -88.556722900 0
KOSH 36 43.963837700 -88.556722900 43.985784600 -88.556432900 0
KOSH 09 43.991641100 -88.572202400 43.991476500 -88.548645200 0
KOSH 27 43.991476500 -88.548645200 43.991641100 -88.572202400 164
KOSH 05 43.986649700 -88.558334700 43.993827200 -88.548424900 0
KOSH 23 43.993827200 -88.548424900 43.986649700 -88.558334700 84
KOSH 13 43.991240700 -88.559693700 43.985856500 -88.550643100 0
KOSH 31 43.985856500 -88.550643100 43.991240700 -88.559693700 0
KOSH 14 43.969269700 -88.562350200 43.967247600 -88.560255600 0
KOSH 32 43.967247600 -88.560255600 43.969269700 -88.562350200 0
KHCR 04 40.475688100 -111.438265000 40.487913900 -111.419338500 0
KHCR 22 40.487913900 -111.419338500 40.475688100 -111.438265000 0
BGSF 09 67.005602900 -50.743176600 67.017613200 -50.686259800 0
BGSF 27 67.017613200 -50.686259800 67.005602900 -50.743176600 0
BGTL 08T 76.530039600 -68.761792900 76.532426100 -68.644539300 10
BGTL 26T 76.532426100 -68.644539300 76.530039600 -68.761792900 7
CYWN 11 52.837479900 -111.113422300 52.824005000 -111.088645600 0
CYWN 29 52.824005000 -111.088645600 52.837479900 -111.113422300 0
CYBG 11 48.332247300 -71.016712000 48.331703900 -70.975653400 0
CYBG 29 48.331703900 -70.975653400 48.332247300 -71.016712000 0
CYBG 18 48.338364600 -70.995566100 48.322605200 -70.988216200 0
CYBG 36 48.322605200 -70.988216200 48.338364600 -70.995566100 0
CYCD 16 49.063600100 -123.869947800 49.045503100 -123.870367200 61
CYCD 34 49.045503100 -123.870367200 49.063600100 -123.869947800 305
CYCH 10 47.007778000 -65.469444000 47.011664000 -65.440003000 0
CYCH 28 47.011664000 -65.440003000 47.007778000 -65.469444000 0
CYCH 09 47.001300000 -65.475752800 47.010277000 -65.437945000 0
CYCH 27 47.010277000 -65.437945000 47.001300000 -65.475752800 0
CYCH 15 47.009725000 -65.453056000 46.999167000 -65.437225000 0
CYCH 33 46.999167000 -65.437225000 47.009725000 -65.453056000 0
CYCH 04 47.000000000 -65.445000000 47.013333000 -65.437775000 0
CYCH 22 47.013333000 -65.437775000 47.000000000 -65.445000000 0
CYDF 07 49.201597600 -57.406478900 49.216755700 -57.382238400 0
CYDF 25 49.216755700 -57.382238400 49.201597600 -57.406478900 0
CYEG 12 53.306191700 -113.595554200 53.286395300 -113.562474200 0
CYEG 30 53.286395300 -113.562474200 53.306191700 -113.595554200 0
CYEG 02 53.308596000 -113.596527900 53.333333400 -113.567646100 0
CYEG 20 53.333333400 -113.567646100 53.308596000 -113.596527900 0
CYFB 16 63.764989100 -68.574713900 63.748141400 -68.537402700 0
CYFB 34 63.748141400 -68.537402700 63.764989100 -68.574713900 0
CYFC 09 45.862999000 -66.552312100 45.870541800 -66.522832900 0
CYFC 27 45.870541800 -66.522832900 45.862999000 -66.552312100 0
CYFC 15 45.874770800 -66.540085100 45.864102500 -66.522088900 0
CYFC 33 45.864102500 -66.522088900 45.874770800 -66.540085100 0
CYFI 17 57.285153000 -110.976669000 57.266294000 -110.976681000 0
CYFI 35 57.266294000 -110.976681000 57.285153000 -110.976669000 0
CYGM 15 50.636159100 -97.050656800 50.620001400 -97.036018700 0
CYGM 33 50.620001400 -97.036018700 50.636159100 -97.050656800 0
CYHM 12 43.180609400 -79.953095500 43.172447100 -79.917162000 500
CYHM 30 43.172447100 -79.917162000 43.180609400 -79.953095500 0
CYHM 06 43.166736700 -79.934698100 43.177626100 -79.917741200 0
CYHM 24 43.177626100 -79.917741200 43.166736700 -79.934698100 0
CYHU 06L 45.510740300 -73.429139700 45.525343800 -73.406911000 336
CYHU 24R 45.525343800 -73.406911000 45.510740300 -73.429139700 0
CYHU 06R 45.512483900 -73.415985100 45.519832700 -73.404887100 0
CYHU 24L 45.519832700 -73.404887100 45.512483900 -73.415985100 0
CYHU 10 45.511687400 -73.426270400 45.512291400 -73.416906100 0
CYHU 28 45.512291400 -73.416906100 45.511687400 -73.426270400 0
CYHZ 05 44.865613900 -63.527292400 44.889214800 -63.503991600 0
CYHZ 23 44.889214800 -63.503991600 44.865613900 -63.527292400 107
CYHZ 14 44.893741900 -63.517460900 44.881566200 -63.493104300 0
CYHZ 32 44.881566200 -63.493104300 44.893741900 -63.517460900 0
CYJT 09 48.539920600 -58.569433800 48.548886200 -58.530378500 0
CYJT 27 48.548886200 -58.530378500 48.539920600 -58.569433800 0
CYKA 09 50.705547600 -120.465406600 50.700526900 -120.431801100 0
CYKA 27 50.700526900 -120.431801100 50.705547600 -120.465406600 0
CYKA 04 50.699463000 -120.446210700 50.703148600 -120.435722700 208
CYKA 22 50.703148600 -120.435722700 50.699463000 -120.446210700 0
CYKF 08 43.457930400 -80.389742600 43.466040400 -80.365756100 0
CYKF 26 43.466040400 -80.365756100 43.457930400 -80.389742600 0
CYKF 14 43.462502700 -80.391630900 43.455518100 -80.379490400 0
