ARPTDB 1.000000
KAPF 26.151984100 -81.776272933 5 18000 18000
KAPG 39.465475300 -76.168331400 57 18000 18000
KAPN 45.078394750 -83.559858250 687 18000 18000
KARA 30.037754000 -91.883893300 21 18000 18000
KART 43.991854450 -76.019842950 325 18000 18000
KASE 39.221890350 -106.868254000 7834 18000 18000
KATL 33.636631490 -84.428021070 1020 18000 18000
KATS 32.851987650 -104.467523250 3541 18000 18000
KATW 44.258006075 -88.519028575 916 18000 18000
KATY 44.914015250 -97.154749900 1748 18000 18000
KAUS 30.194121000 -97.668243750 541 18000 18000
KAVL 35.436115800 -82.542045750 2162 18000 18000
KAVP 41.338917375 -75.723106500 959 18000 18000
KAVQ 32.409055000 -111.218387175 2028 18000 18000
KAXX 36.422000500 -105.289905400 8378 18000 18000
KBAB 39.136137300 -121.436628600 110 18000 18000
KBAD 32.501932450 -93.662634850 165 18000 18000
KBAF 42.158145675 -72.715872125 270 18000 18000
KBAM 40.599049975 -116.874350175 4532 18000 18000
KBBG 36.532072400 -93.200461000 1303 18000 18000
KBCE 37.706439000 -112.145819000 7587 18000 18000
KBDL 41.938930600 -72.682796883 169 18000 18000
KBEC 37.693929850 -97.214924600 1408 18000 18000
KBED 42.469825750 -71.289318250 129 18000 18000
KBFF 41.874023250 -103.595665500 3966 18000 18000
KBFI 47.531105950 -122.302514750 20 18000 18000
KBFL 35.433492325 -119.057517300 504 18000 18000
KBFM 30.627207500 -88.067885750 23 18000 18000
KBGM 42.207966275 -75.979612500 1636 18000 18000
KBGR 44.807437800 -68.828126500 188 18000 18000
KBHM 33.563792900 -86.751281550 643 18000 18000
KBIF 31.849525000 -106.380039000 3948 18000 18000
KBIH 37.373146367 -118.363515800 4124 18000 18000
KBIL 45.808013000 -108.547558533 3650 18000 18000
KBIS 46.772348375 -100.745037750 1661 18000 18000
KBIX 30.410407000 -88.924441100 33 18000 18000
KBJC 39.909029283 -105.116964350 5666 18000 18000
KBJI 47.510589500 -94.934513675 1391 18000 18000
KBKF 39.701778800 -104.751992500 5662 18000 18000
KBKL 41.517705250 -81.682751500 583 18000 18000
KBKV 28.473133250 -82.454568750 77 18000 18000
KBKW 37.786640100 -81.124148875 2501 18000 18000
KBLI 48.792691000 -122.537523900 167 18000 18000
KBLM 40.186302475 -74.123940550 159 18000 18000
KBLV 38.545046750 -89.836897250 458 18000 18000
KBMC 41.554320950 -112.062251000 4229 18000 18000
KBMI 40.477412075 -88.916412125 871 18000 18000
KBNA 36.123897937 -86.677880875 598 18000 18000
KBOI 43.556232300 -116.214940600 2871 18000 18000
KBOS 42.362980008 -71.006838233 20 18000 18000
KBPG 32.211638325 -101.521787925 2573 18000 18000
KBPI 42.580731000 -110.107655750 6990 18000 18000
KBPT 29.950881200 -94.021036400 15 18000 18000
KBQK 31.259027000 -81.466327400 20 18000 18000
KBRD 46.404045500 -94.133889000 1226 18000 18000
KBRL 40.783684250 -91.125714000 698 18000 18000
KBRO 25.907443367 -97.425928783 20 18000 18000
KBTL 42.306561033 -85.248639733 952 18000 18000
KBTM 45.954746500 -112.497573750 5546 18000 18000
KBTR 30.532848667 -91.149247667 65 18000 18000
KBTV 44.471312775 -73.153007875 333 18000 18000
KBUF 42.940486750 -78.730606250 724 18000 18000
KBUR 34.200457175 -118.358756950 776 18000 18000
KBVO 36.763356600 -96.011172950 709 18000 18000
KBWI 39.176760167 -76.667238783 145 18000 18000
KBXM 43.892356450 -69.938831950 75 18000 18000
KBYH 35.964330750 -89.943964350 250 18000 18000
KBZN 45.776005250 -111.149354575 4471 18000 18000
KCAE 33.938750000 -81.119367500 233 18000 18000
KCAK 40.915139875 -81.443527375 1228 18000 18000
PAKC 33.645448817 -88.446603333 219 18000 18000
KCDC 37.701182775 -113.098617300 5621 18000 18000
KCEF 42.195092225 -72.534404000 241 18000 18000
KCEW 30.778820650 -86.522086900 209 18000 18000
